id,title,description,author_id,duration_minutes,distance_km,date,picture,created_at
7,"Sunrise Jog","Easy recovery run around the neighborhood.",2,30,5.20,2026-04-12 06:30:00,https://source.unsplash.com/collection/190727/800x600,2026-04-12 06:45:00
8,"Hill Repeats","Short intense hill intervals; 8 repeats.",3,45,6.50,2026-03-20 07:00:00,https://source.unsplash.com/collection/190727/800x600,2026-03-20 07:10:00
9,"Evening Ride","Leisurely bike ride with friends.",4,60,20.00,2026-02-14 18:15:00,https://source.unsplash.com/collection/483251/800x600,2026-02-14 19:20:00
10,"Trail Run","Technical singletrack with lots of roots and fun descents.",5,75,12.30,2025-11-02 09:00:00,https://source.unsplash.com/collection/190727/800x600,2025-11-02 10:05:00
11,"Lunchtime Walk","Quick walk to clear the head between meetings.",6,20,,2026-01-08 12:30:00,https://source.unsplash.com/collection/888146/800x600,2026-01-08 12:45:00
12,"Interval Session","5x1000m at threshold pace.",2,50,10.00,2026-05-01 06:00:00,https://source.unsplash.com/collection/190727/800x600,2026-05-01 06:30:00
13,"Recovery Swim","Easy swim focusing on form.",3,40,,2026-04-25 17:00:00,https://source.unsplash.com/collection/139386/800x600,2026-04-25 17:50:00
14,"City Cruise","Casual 10k ride exploring new streets.",4,35,10.00,2025-12-10 15:00:00,https://source.unsplash.com/collection/483251/800x600,2025-12-10 15:30:00
15,"Long Run","Steady long run building endurance.",5,120,21.10,2026-03-07 07:00:00,https://source.unsplash.com/collection/190727/800x600,2026-03-07 09:10:00
16,"Tempo Run","20 minutes at tempo pace with warmup and cooldown.",6,55,9.00,2026-02-28 06:15:00,https://source.unsplash.com/collection/190727/800x600,2026-02-28 07:15:00
17,"Morning Hike","Exploring local state park; lots of climbs.",2,180,8.50,2025-10-20 08:00:00,https://source.unsplash.com/collection/1111575/800x600,2025-10-20 12:30:00
18,"Sprint Session","Track sprints and drills.",3,35,,2026-04-07 18:00:00,https://source.unsplash.com/collection/190727/800x600,2026-04-07 18:40:00
19,"Commute Run","Ran to work instead of driving—felt great.",4,25,4.80,2026-01-22 08:10:00,https://source.unsplash.com/collection/190727/800x600,2026-01-22 08:40:00
20,"Beach Workout","Sand sprints and core work by the shore.",5,50,,2025-09-15 16:00:00,https://source.unsplash.com/collection/1111575/800x800,2025-09-15 17:05:00
21,"Group Ride","Fast group ride with paceline practice.",6,95,45.00,2026-03-30 07:30:00,https://source.unsplash.com/collection/483251/800x600,2026-03-30 09:10:00
22,"Park Loops","Intervals on park loop; relaxed effort.",2,40,8.00,2026-04-05 18:30:00,https://source.unsplash.com/collection/190727/800x600,2026-04-05 19:15:00
23,"Strength + Run","Quick gym session then 30-minute easy run.",3,70,,2026-02-02 17:00:00,https://source.unsplash.com/collection/139386/800x600,2026-02-02 18:20:00
